group_name,description,website_url
All,All current network LAs,http://www.erg.kcl.ac.uk/
AroundLondon,Selection of boroughs around London,http://www.londonair.org.uk/
Essex,All 14 councils in Essex,http://www.essexair.org.uk/
Hampshire,Various local authorities in Hampshire,http://www.hantsair.org.uk/
Leicester,Leicester Council,http://www.leicester.gov.uk/
London,All currently active boroughs of London,http://www.londonair.org.uk/
Sussex,All 13 councils in Sussex,http://www.sussex-air.net/
