code,label,network,type,lat,lng,latoffset,lonoffset,html
WMD,Westminster - Elizabeth Bridge,LAQN,Roadside,51.4922482333024,-0.147114752900186,0,0,publicdetails.asp?site=WMD&Maptype=Google&mapview=all
BX2,Bexley - Belvedere,LAQN,Suburban,51.4906102082147,0.158914493927518,250,250,publicdetails.asp?site=BX2&Maptype=Google&mapview=all
GN0,Greenwich - A206 Burrage Grove,LAQN,Roadside,51.490532,0.074003,0,0,publicdetails.asp?site=GN0&Maptype=Google&mapview=all
TH6,Tower Hamlets - Millwall Park,LAQN,Urban Background,51.4891342634,-0.0129769309432,0,0,publicdetails.asp?site=TH6&Maptype=Google&mapview=all
LH0,Hillingdon - Harlington,AURN,Urban Background,51.48878,-0.441627,0,0,publicdetails.asp?site=LH0&Maptype=Google&mapview=all
GN3,Greenwich - Plumstead High Street,LAQN,Roadside,51.486957,0.095111,0,0,publicdetails.asp?site=GN3&Maptype=Google&mapview=all
GR8,Greenwich - Woolwich Flyover,mixed,Roadside,51.486884,0.017901,0,0,publicdetails.asp?site=GR8&Maptype=Google&mapview=all
LB5,Lambeth - Bondway Interchange,LAQN,Industrial,51.4854867739729,-0.124545234819213,300,0,publicdetails.asp?site=LB5&Maptype=Google&mapview=all
GN5,Greenwich - Trafalgar Road (Hoskins St),LAQN,Roadside,51.4839072533485,4.07396935849736E-04,0,0,publicdetails.asp?site=GN5&Maptype=Google&mapview=all
SK5,Southwark - A2 Old Kent Road,AURN,Roadside,51.4804994936467,-5.95528932573422E-02,300,300,publicdetails.asp?site=SK5&Maptype=Google&mapview=all
RI1,Richmond Upon Thames - Castelnau,LAQN,Roadside,51.480189,-0.237335,300,-900,publicdetails.asp?site=RI1&Maptype=Google&mapview=all
WAA,Wandsworth - Battersea,LAQN,Roadside,51.4794395281222,-0.141786953606306,0,0,publicdetails.asp?site=WAA&Maptype=Google&mapview=all
TK1,Thurrock - London Road (Grays),mixed,Urban Background,51.477076,0.317938,137,243,publicdetails.asp?site=TK1&Maptype=Google&mapview=all
RI2,Richmond Upon Thames - Barnes Wetlands,LAQN,Suburban,51.476168,-0.230427,-200,200,publicdetails.asp?site=RI2&Maptype=Google&mapview=all
GR7,Greenwich - Blackheath,LAQN,Roadside,51.472504,-0.012381,0,0,publicdetails.asp?site=GR7&Maptype=Google&mapview=all
BQ9,Bexley - Slade Green Fidas,AURN,Suburban,51.4659832746662,0.184877126994369,250,250,publicdetails.asp?site=BQ9&Maptype=Google&mapview=all
BX1,Bexley - Slade Green,mixed,Suburban,51.4659832746662,0.184877126994369,0,0,publicdetails.asp?site=BX1&Maptype=Google&mapview=all
WA9,Wandsworth - Putney,LAQN,Urban Background,51.4650325059122,-0.215824580947572,0,0,publicdetails.asp?site=WA9&Maptype=Google&mapview=all
LB4,Lambeth - Brixton Road,LAQN,Kerbside,51.464113541162,-0.11458102695123,0,-300,publicdetails.asp?site=LB4&Maptype=Google&mapview=all
RHI,Richmond Upon Thames - Richmond,LAQN,Kerbside,51.4638976490621,-0.301685013378926,0,0,publicdetails.asp?site=RHI&Maptype=Google&mapview=all
WAC,Lavender Hill,LAQN,Roadside,51.4636903568111,-0.166713485994806,0,0,publicdetails.asp?site=WAC&Maptype=Google&mapview=all
WA7,Wandsworth - Putney High Street,LAQN,Kerbside,51.463429,-0.215871,-200,-200,publicdetails.asp?site=WA7&Maptype=Google&mapview=all
GR9,Greenwich - Westhorne Avenue,mixed,Roadside,51.456357,0.040725,0,0,publicdetails.asp?site=GR9&Maptype=Google&mapview=all
GB0,Greenwich - Falconwood FDMS,LAQN,Roadside,51.4563,0.085606,0,0,publicdetails.asp?site=GB0&Maptype=Google&mapview=all
GB6,Greenwich - Falconwood,LAQN,Roadside,51.4563,0.085606,250,250,publicdetails.asp?site=GB6&Maptype=Google&mapview=all
RD0,Reading - New Town,AURN,Urban Background,51.4529847075166,-0.944461432664066,0,25,publicdetails.asp?site=RD0&Maptype=Google&mapview=all
GR4,Greenwich - Eltham,mixed,Suburban,51.45258,0.070766,0,0,publicdetails.asp?site=GR4&Maptype=Google&mapview=all
HP1,Lewisham - Honor Oak Park,AURN,Urban Background,51.4496728960354,-3.74153592115306E-02,0,0,publicdetails.asp?site=HP1&Maptype=Google&mapview=all
ZR4,Dartford - St Clements 2,LAQN,Roadside,51.448823581151,0.279379130223739,0,0,publicdetails.asp?site=ZR4&Maptype=Google&mapview=all
ZR6,Dartford - Town Centre,LAQN,Roadside,51.442557781389,0.215950164318913,0,0,publicdetails.asp?site=ZR6&Maptype=Google&mapview=all
GN4,Greenwich - Fiveways Sidcup Rd A20,LAQN,Roadside,51.4346627060562,6.42224671704697E-02,0,0,publicdetails.asp?site=GN4&Maptype=Google&mapview=all
ZR5,Dartford - Bean Lane,LAQN,Roadside,51.4306174423102,0.280976036868921,0,0,publicdetails.asp?site=ZR5&Maptype=Google&mapview=all
MEB,Merton - Plough Lane Wimbledon,LAQN,Roadside,51.4304273690564,-0.185811823620255,0,0,publicdetails.asp?site=MEB&Maptype=Google&mapview=all
