laqn_code,laqn_name,laqn_lat,laqn_lon,laqn_lat_lon,aurn_uka_id,aurn_name,aurn_lat,aurn_lon,aurn_lat_lon,distance_m,name_ratio
HG1,Haringey - Haringey Town Hall,51.599302,-0.068218,51.599302 -0.068218,UKA00260,Haringey Roadside,51.599300,-0.068218,51.599300 -0.068218,0.2,0.522
WM0,Westminster - Horseferry Road,51.494681,-0.131938,51.494681 -0.131938,UKA00435,London Westminster,51.494670,-0.131931,51.494670 -0.131931,1.3,0.468
MY1,Westminster - Marylebone Road,51.522540,-0.154590,51.522540 -0.154590,UKA00315,London Marylebone Road,51.522530,-0.154611,51.522530 -0.154611,1.8,0.667
KC1,Kensington and Chelsea - North Ken,51.521047,-0.213492,51.521047 -0.213492,UKA00253,London N. Kensington,51.521050,-0.213419,51.521050 -0.213419,5.1,0.370
BX1,Bexley - Slade Green,51.465983,0.184877,51.465983 0.184877,UKA00238,London Bexley,51.466030,0.184806,51.466030 0.184806,7.2,0.364
