connector_id,connector_code,label,display_name,service_url,station_display_name_template,overwrite_station_name,poll_enabled,poll_interval_minutes,poll_window_hours,poll_timeseries_batch_size,stations_bbox_supported,timeseries_station_filter_supported,station_count,active_station_count,removed_station_count,timeseries_count,timeseries_with_value_count,latest_value_at,oldest_value_at,hours_since_latest_value,last_polled_at,hours_since_last_polled,last_run_start,last_run_end,hours_since_last_run_end,last_run_status,last_run_message,created_at
112,breathelondon,Breathe London,Breathe London,https://api.breathelondon-communities.org/api,{station_name},True,True,2,6,15,False,False,649,184,465,1298,225,2026-01-25T22:00:00Z,2026-01-13T23:00:00Z,1.52,2026-01-25T23:25:31.375000Z,0.09,2026-01-25T23:24:48.398000Z,2026-01-25T23:25:31.375000Z,0.09,succeeded,dispatched,2026-01-17T19:51:34.042582+00:00
173,erg_laqn,ERG London Air,London Air LAQN,https://api.erg.ic.ac.uk/AirQuality,{station_name},True,False,120,6,10,False,False,258,80,178,1032,321,2026-01-24T23:00:00Z,2026-01-21T23:00:00Z,24.52,,,2026-01-25T20:32:49.743000Z,2025-01-25T20:40:00Z,8762.85,failed,dispatching,2026-01-22T20:14:21.633716+00:00
41,sensorcommunity,Sensor.Community,Sensor.Community,https://data.sensor.community,,False,True,6,1,50,False,False,411,411,0,935,935,2026-01-25T23:30:02Z,2026-01-13T01:45:00Z,0.02,2026-01-25T23:30:54.461000Z,0.00,2026-01-25T23:30:48.967000Z,2026-01-25T23:30:54.461000Z,0.00,succeeded,dispatched,2026-01-13T01:31:52.963162+00:00
1,uk_air_sos,UK-AIR-SOS,UK-AIR-SOS,https://uk-air.defra.gov.uk/sos-ukair/api/v1,{station_name},True,True,6,24,50,False,False,2909,2908,1,1212,961,2026-01-25T21:00:00Z,2025-01-06T10:00:00Z,2.52,,,2026-01-25T23:28:48.445000Z,,,succeeded,dispatched,2026-01-05T23:22:30.441923+00:00
